Category,Category Link,Movie Title,Critics Score,Audience Score
New to Rent/Buy at Home,https://www.rottentomatoes.com/browse/movies_at_home/affiliates:fandango-at-home,M3GAN 2.0,58%,82%
New to Rent/Buy at Home,https://www.rottentomatoes.com/browse/movies_at_home/affiliates:fandango-at-home,Together,90%,76%
New to Rent/Buy at Home,https://www.rottentomatoes.com/browse/movies_at_home/affiliates:fandango-at-home,I Know What You Did Last Summer,36%,68%
Coming Soon To Theaters,https://www.rottentomatoes.com/browse/movies_coming_soon/,The Strangers: Chapter 2,,
Coming Soon To Theaters,https://www.rottentomatoes.com/browse/movies_coming_soon/,One Battle After Another,,
Coming Soon To Theaters,https://www.rottentomatoes.com/browse/movies_coming_soon/,Gabby's Dollhouse: The Movie,,
Coming Soon To Theaters,https://www.rottentomatoes.com/browse/movies_coming_soon/,Eleanor the Great,63%,
Coming Soon To Theaters,https://www.rottentomatoes.com/browse/movies_coming_soon/,Xeno,,
Coming Soon To Theaters,https://www.rottentomatoes.com/browse/movies_coming_soon/,Bugonia,93%,
Coming Soon To Theaters,https://www.rottentomatoes.com/browse/movies_coming_soon/,The Smashing Machine,79%,
Coming Soon To Theaters,https://www.rottentomatoes.com/browse/movies_coming_soon/,Anemone,,
Coming Soon To Theaters,https://www.rottentomatoes.com/browse/movies_coming_soon/,Urchin,97%,
Coming Soon To Theaters,https://www.rottentomatoes.com/browse/movies_coming_soon/,Good Fortune,82%,
Coming Soon To Theaters,https://www.rottentomatoes.com/browse/movies_coming_soon/,Roofman,82%,
Coming Soon To Theaters,https://www.rottentomatoes.com/browse/movies_coming_soon/,Ballad of a Small Player,64%,
Coming Soon To Theaters,https://www.rottentomatoes.com/browse/movies_coming_soon/,Good Boy,95%,
Coming Soon To Theaters,https://www.rottentomatoes.com/browse/movies_coming_soon/,Wicked: For Good,,
Coming Soon To Theaters,https://www.rottentomatoes.com/browse/movies_coming_soon/,Kiss of the Spider Woman,82%,
Coming Soon To Theaters,https://www.rottentomatoes.com/browse/movies_coming_soon/,TRON: Ares,,
Coming Soon To Theaters,https://www.rottentomatoes.com/browse/movies_coming_soon/,Now You See Me: Now You Don't,,
2025 Emmy Winners,https://editorial.rottentomatoes.com/article/2025-emmy-winners-77th-primetime-creative-arts-emmy-winners/,The Studio,93%,75%
2025 Emmy Winners,https://editorial.rottentomatoes.com/article/2025-emmy-winners-77th-primetime-creative-arts-emmy-winners/,The Penguin,95%,85%
2025 Emmy Winners,https://editorial.rottentomatoes.com/article/2025-emmy-winners-77th-primetime-creative-arts-emmy-winners/,The Pitt,95%,86%
2025 Emmy Winners,https://editorial.rottentomatoes.com/article/2025-emmy-winners-77th-primetime-creative-arts-emmy-winners/,Adolescence,98%,74%
2025 Emmy Winners,https://editorial.rottentomatoes.com/article/2025-emmy-winners-77th-primetime-creative-arts-emmy-winners/,Severance,94%,73%
2025 Emmy Winners,https://editorial.rottentomatoes.com/article/2025-emmy-winners-77th-primetime-creative-arts-emmy-winners/,Hacks,98%,68%
2025 Emmy Winners,https://editorial.rottentomatoes.com/article/2025-emmy-winners-77th-primetime-creative-arts-emmy-winners/,Somebody Somewhere,100%,93%
2025 Emmy Winners,https://editorial.rottentomatoes.com/article/2025-emmy-winners-77th-primetime-creative-arts-emmy-winners/,The Traitors,100%,71%
2025 Emmy Winners,https://editorial.rottentomatoes.com/article/2025-emmy-winners-77th-primetime-creative-arts-emmy-winners/,Arcane: League of Legends,100%,80%
2025 Emmy Winners,https://editorial.rottentomatoes.com/article/2025-emmy-winners-77th-primetime-creative-arts-emmy-winners/,Last Week Tonight With John Oliver,,
2025 Emmy Winners,https://editorial.rottentomatoes.com/article/2025-emmy-winners-77th-primetime-creative-arts-emmy-winners/,Rebel Ridge,95%,73%
2025 Emmy Winners,https://editorial.rottentomatoes.com/article/2025-emmy-winners-77th-primetime-creative-arts-emmy-winners/,The Late Show With Stephen Colbert,,
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,Gen V,89%,
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,Train Dreams,98%,
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,Downton Abbey,84%,94%
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,Grosse Pointe Garden Society,75%,85%
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,The Baltimorons,92%,86%
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,The Girlfriend,86%,77%
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,Only Murders in the Building,97%,93%
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,The Long Walk,89%,85%
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,The Threesome,77%,72%
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,The Paper,84%,72%
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,Riefenstahl,98%,
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,The Thursday Murder Club,77%,53%
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,Task,89%,66%
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,Ballard,100%,77%
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,A Little Prayer,93%,94%
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,Caught Stealing,84%,83%
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,The Toxic Avenger,86%,82%
Latest Certified Fresh Movies & TV,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,Went Up the Hill,72%,
